playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8475792,2021,Brett Connolly,CHI,R,other,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475792,2021,Brett Connolly,CHI,R,all,9,4534.0,94.0,-0.3,0.31,0.42,0.44,0.44,0.45,0.44,97.0,6.5,0.61,0.43,1.29,0.2,3.65,2.81,0.61,0.61,0.61,1.0,0.0,6.0,3.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,6.0,9.0,1.0,5.0,0.0,7.0,2.0,0.0,7.0,1.0,1.0,0.26,0.13,0.23,0.0,0.0,0.0,12.87,9.0,8.93,0.0,0.09,0.0,0.0,0.7,0.7,0.7,94.0,9.0,13.0,9.0,63.0,8.0,9.0,10.0,67.0,0.0,0.0,28080.0,5.0,0.0,0.0,3.0,28.78,1.83,1.82,1.78,1.77,25.0,17.0,18.0,60.0,2.0,0.0,0.0,34.0,7.0,1.0,0.86,0.74,0.23,1.0,1.0,0.0,57.86,42.0,40.67,0.37,0.0,0.0,2.19,2.13,2.13,38.48,4.11,3.59,4.03,3.53,42.0,10.0,24.0,76.0,4.0,6.0,0.0,36.0,8.0,8.0,0.93,1.2,1.99,2.0,2.0,0.0,78.05,52.0,52.83,0.64,1.58,1.58,3.18,3.18,3.09,17.23,23.98,387.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0
8475792,2021,Brett Connolly,CHI,R,5on5,9,4170.0,87.0,-0.3,0.3,0.51,0.42,0.46,0.44,0.47,97.0,5.75,0.55,0.38,1.17,0.18,3.41,2.31,0.55,0.56,0.56,1.0,0.0,5.0,3.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,5.0,8.0,1.0,5.0,0.0,6.0,2.0,0.0,6.0,1.0,1.0,0.2,0.13,0.23,0.0,0.0,0.0,10.87,8.0,7.93,0.0,0.08,0.0,0.0,0.63,0.64,0.64,87.0,4.0,12.0,9.0,62.0,7.0,9.0,9.0,62.0,0.0,0.0,22748.0,5.0,0.0,0.0,3.0,27.29,1.68,1.68,1.64,1.63,23.0,17.0,15.0,55.0,1.0,0.0,0.0,33.0,6.0,1.0,0.81,0.65,0.23,1.0,0.0,0.0,52.86,40.0,38.67,0.34,0.0,0.0,2.02,1.96,1.95,37.65,3.91,3.38,3.83,3.33,41.0,10.0,24.0,75.0,4.0,6.0,0.0,36.0,8.0,7.0,0.93,1.2,1.78,2.0,2.0,0.0,77.05,51.0,51.83,0.63,1.58,1.58,2.96,2.96,2.87,11.93,11.3,321.0,377.0,0.13,0.1,3.0,6.0,3.0,5.0
8475792,2021,Brett Connolly,CHI,R,4on5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475792,2021,Brett Connolly,CHI,R,5on4,9,364.0,7.0,0.25,0.3,0.37,0.75,0.57,0.5,0.42,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.74,0.09,0.09,0.09,0.09,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.02,0.0,0.0,0.11,0.11,0.11,0.83,0.21,0.21,0.21,0.21,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.22,0.22,0.22,0.38,0.65,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8477948,2021,Travis Sanheim,PHI,D,other,49,2499.0,46.0,15.35,0.39,0.56,0.49,0.62,0.47,0.61,116.0,3.57,0.46,0.25,0.73,0.12,1.98,1.45,0.46,0.46,0.46,0.0,3.0,4.0,1.0,5.0,10.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.13,0.11,0.22,0.0,0.0,1.0,10.0,5.0,5.0,0.0,0.06,0.0,0.0,0.53,0.53,0.53,46.0,6.0,11.0,3.0,26.0,6.0,4.0,10.0,26.0,0.0,0.0,3865.0,0.0,4.0,2.0,8.0,34.95,5.81,5.67,5.81,5.67,40.0,7.0,18.0,65.0,6.0,2.0,0.0,30.0,11.0,6.0,1.42,1.45,2.94,2.0,0.0,4.0,65.0,47.0,47.0,0.6,0.42,0.72,5.69,5.69,5.66,39.12,9.05,8.58,9.05,8.58,40.0,12.0,16.0,68.0,7.0,4.0,0.0,26.0,13.0,13.0,1.11,1.49,6.46,0.0,0.0,7.0,68.0,52.0,52.0,0.77,1.1,1.1,8.72,8.72,8.29,14.09,11.13,113.0,69.0,0.07,0.0,1.0,0.0,1.0,0.0
8477948,2021,Travis Sanheim,PHI,D,all,49,66158.0,1406.0,18.55,0.46,0.48,0.46,0.49,0.46,0.5,112.0,77.17,4.49,4.46,19.21,2.6,42.86,33.37,4.46,4.47,4.43,5.0,9.0,76.0,31.0,45.0,152.0,18.0,4.0,5.0,1.0,19.0,6.0,30.0,43.0,72.0,103.0,9.0,18.0,0.0,33.0,17.0,29.0,90.0,15.0,2.0,2.07,1.86,0.57,2.0,1.0,1.0,149.53,107.0,105.78,24.0,0.93,1.24,0.18,5.24,5.2,5.15,1406.0,101.0,189.0,204.0,912.0,200.0,186.0,207.0,813.0,0.0,0.0,112713.0,18.0,12.0,6.0,71.0,570.79,53.46,52.15,53.03,51.72,584.0,191.0,221.0,996.0,53.0,46.0,8.0,553.0,171.0,51.0,17.09,21.43,14.94,19.0,15.0,19.0,983.41,775.0,766.52,7.94,8.71,9.01,52.39,51.98,51.29,654.0,63.5,61.49,64.12,62.08,654.0,246.0,263.0,1163.0,65.0,53.0,11.0,654.0,187.0,59.0,19.97,22.88,20.66,18.0,27.0,20.0,1177.48,900.0,909.54,10.09,10.76,11.0,62.59,63.18,61.9,91.67,100.25,1724.0,1768.0,0.0,0.0,0.0,0.0,0.0,0.0
8477948,2021,Travis Sanheim,PHI,D,5on5,49,56827.0,1188.0,18.55,0.51,0.44,0.49,0.46,0.49,0.47,92.0,68.13,3.42,3.9,17.62,2.32,38.62,29.1,3.39,3.4,3.36,5.0,6.0,67.0,28.0,39.0,134.0,14.0,3.0,5.0,1.0,16.0,6.0,28.0,37.0,64.0,92.0,9.0,18.0,0.0,28.0,12.0,27.0,83.0,12.0,0.0,1.85,1.57,0.0,2.0,1.0,0.0,131.53,95.0,93.78,23.0,0.79,1.24,0.18,4.03,3.99,3.94,1188.0,88.0,135.0,193.0,772.0,175.0,158.0,164.0,691.0,0.0,0.0,87487.0,18.0,6.0,3.0,49.0,502.1,44.1,42.95,43.67,42.52,511.0,172.0,199.0,882.0,45.0,44.0,8.0,492.0,150.0,41.0,14.61,18.83,10.66,17.0,15.0,13.0,869.41,683.0,674.52,6.87,8.29,8.29,42.68,42.27,41.64,515.77,42.98,41.75,43.6,42.34,511.0,202.0,206.0,919.0,44.0,38.0,8.0,534.0,147.0,32.0,16.06,18.26,8.66,14.0,24.0,6.0,933.48,713.0,722.55,7.15,7.02,7.26,42.87,43.46,42.9,53.29,69.18,1226.0,1412.0,1.9,0.76,55.0,14.0,43.0,12.0
8477948,2021,Travis Sanheim,PHI,D,4on5,49,5771.0,131.0,16.48,0.2,0.14,0.17,0.12,0.2,0.14,141.0,3.22,0.48,0.16,0.43,0.1,0.98,1.85,0.48,0.48,0.48,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,0.05,0.09,0.35,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.04,0.0,0.0,0.52,0.52,0.52,131.0,1.0,41.0,6.0,83.0,7.0,21.0,28.0,75.0,0.0,0.0,7983.0,0.0,0.0,0.0,1.0,23.33,2.67,2.67,2.67,2.67,23.0,8.0,2.0,33.0,2.0,0.0,0.0,22.0,5.0,4.0,0.76,0.57,1.34,0.0,0.0,2.0,33.0,31.0,31.0,0.26,0.0,0.0,2.93,2.93,2.93,92.92,10.82,10.52,10.82,10.52,97.0,30.0,39.0,166.0,14.0,10.0,3.0,89.0,25.0,13.0,2.63,2.87,5.32,4.0,3.0,7.0,166.0,127.0,127.0,2.09,2.41,2.41,10.49,10.49,10.2,2.15,13.36,28.0,213.0,0.16,0.0,1.0,0.0,1.0,0.0
8477948,2021,Travis Sanheim,PHI,D,5on4,49,1061.0,41.0,11.35,0.47,0.83,0.6,0.87,0.58,0.84,106.0,0.69,0.01,0.05,0.16,0.02,0.54,0.22,0.01,0.01,0.01,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,41.0,6.0,2.0,2.0,31.0,12.0,3.0,5.0,21.0,0.0,0.0,8547.0,0.0,2.0,1.0,11.0,4.88,0.31,0.31,0.31,0.31,5.0,2.0,2.0,9.0,0.0,0.0,0.0,5.0,2.0,0.0,0.09,0.22,0.0,0.0,0.0,0.0,9.0,7.0,7.0,0.09,0.0,0.0,0.4,0.4,0.4,3.84,0.34,0.34,0.34,0.34,3.0,2.0,1.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,0.09,0.26,0.0,0.0,0.0,0.0,6.0,5.0,5.0,0.04,0.0,0.0,0.39,0.39,0.39,12.52,2.6,234.0,36.0,0.0,0.14,0.0,1.0,0.0,1.0
